laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
334,Hp,Elitebook 820,Ultrabook,12.5,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.26Kg,1335.0
335,Dell,Xps 15,Notebook,15.6,4K Ultra Hd / Touchscreen 3840X2160,Intel Core I7 7700Hq 2.8Ghz,32Gb,1Tb Ssd,Nvidia Geforce Gtx 1050,Windows 10,2.06Kg,2639.0
336,Msi,Gl72M 7Rex,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Windows 10,2.7Kg,1199.0
337,Toshiba,Satellite Pro,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,2.0Kg,943.0
338,Asus,Ux510Ux-Cn269T (I7-7500U/8Gb/256Gb,Notebook,14.0,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd +  1Tb Hdd,Intel Hd Graphics 620,Windows 10,2Kg,1334.0
339,Lenovo,V310-15Isk (I3-6006U/4Gb/1Tb/Fhd/W10),Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 520,Windows 10,1.85Kg,449.0
340,Asus,Fx553Vd-Fy647T (I7-7700Hq/8Gb/256Gb/Geforce,Gaming,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce Gtx 1050,Windows 10,2.5Kg,999.0
341,Hp,Elitebook 840,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 7300U 2.6Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.48Kg,1268.0
342,Dell,Inspiron 7570,Ultrabook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce 940Mx,Windows 10,1.9Kg,1049.0
343,Hp,Elitebook 850,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.84Kg,1144.0
344,Asus,X541Na (N3350/4Gb/1Tb/Linux),Notebook,15.6,1366X768,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 500,Linux,2Kg,274.99
345,Dell,Inspiron 7570,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Nvidia Geforce 940Mx,Windows 10,2Kg,1142.75
346,Dell,Inspiron 3552,Notebook,15.6,1366X768,Intel Celeron Dual Core N3060 1.6Ghz,4Gb,500Gb Hdd,Intel Hd Graphics,Linux,2.2Kg,274.9
347,Lenovo,Ideapad 320-15Abr,Notebook,15.6,Full Hd 1920X1080,Amd A12-Series 9720P 3.6Ghz,12Gb,2Tb Hdd,Amd Radeon 530,Windows 10,2.2Kg,899.0
348,Hp,Probook 450,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I3 7100U 2.4Ghz,8Gb,1Tb Hdd,Nvidia Geforce 930Mx,Windows 10,2.1Kg,716.0
349,Lenovo,Yoga 920-13Ikb,2 In 1 Convertible,13.9,Ips Panel 4K Ultra Hd / Touchscreen 3840X2160,Intel Core I7 8550U 1.8Ghz,16Gb,512Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.4Kg,2099.0
350,Dell,Xps 13,Ultrabook,13.3,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.2Kg,1579.0
351,Lenovo,Legion Y520-15Ikbn,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  2Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Windows 10,2.4Kg,1129.0
352,Hp,Stream 14-Ax001Nv,Notebook,14.0,1366X768,Intel Celeron Dual Core N3060 1.6Ghz,2Gb,32Gb Flash Storage,Intel Hd Graphics 400,Windows 10,1.44Kg,279.0
353,Dell,Latitude 5590,Ultrabook,15.6,Full Hd 1920X1080,Intel Core I7 8650U 1.9Ghz,16Gb,512Gb Ssd +  256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.88Kg,1607.96
354,Asus,Vivobook Flip,2 In 1 Convertible,11.6,Touchscreen 1366X768,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,32Gb Flash Storage,Intel Hd Graphics 500,Windows 10,1.5Kg,375.0
355,Dell,Inspiron 5570,Ultrabook,15.6,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,1Tb Hdd,Amd Radeon 530,Windows 10,1.9Kg,663.0
356,Dell,Xps 15,Notebook,15.6,4K Ultra Hd / Touchscreen 3840X2160,Intel Core I7 7700Hq 2.8Ghz,16Gb,512Gb Ssd,Nvidia Geforce Gtx 1050,Windows 10,2.06Kg,2027.42
357,Hp,Elitebook 850,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.84Kg,1304.0
358,Msi,Gp72Mvr 7Rfx,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1060,Windows 10,2.7Kg,1409.0
359,Hp,Zbook 15,Workstation,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,256Gb Ssd,Nvidia Quadro M1200,Windows 10,2.6Kg,1738.27
360,Toshiba,Tecra A50-C-21G,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 6500U 2.5Ghz,16Gb,512Gb Ssd,Nvidia Geforce 930M,Windows 10,2.4Kg,1403.0
361,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,128Gb Ssd +  2Tb Hdd,Amd Radeon 530,Windows 10,2.02Kg,970.9
362,Lenovo,Ideapad 320-15Iap,Notebook,15.6,1366X768,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 500,No Os,2.2Kg,321.99
363,Dell,Inspiron 7577,Gaming,15.6,Full Hd 1920X1080,Intel Core I5 7300Hq 2.5Ghz,8Gb,1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.65Kg,999.0
364,Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366X768,Intel Core I5 7200U 2.5Ghz,8Gb,2Tb Hdd,Intel Hd Graphics 620,Windows 10,2.36Kg,557.37
365,Dell,Latitude 7480,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 7300U 2.6Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.36Kg,1427.0
366,Hp,250 G6,Notebook,15.6,1366X768,Intel Core I3 6006U 2Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 520,Windows 10,1.86Kg,439.0
367,Asus,Zenbook Ux410Ua-Gv027T,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,2Kg,945.0
368,Lenovo,Ideapad 320-17Ikb,Notebook,17.3,1600X900,Intel Core I5 7200U 2.5Ghz,6Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 940Mx,Windows 10,2.8Kg,719.0
369,Hp,250 G6,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,1Tb Hdd,Intel Hd Graphics 620,Windows 10,1.86Kg,639.0
370,Lenovo,Ideapad 320-15Isk,Notebook,15.6,1366X768,Intel Core I3 6006U 2Ghz,8Gb,256Gb Ssd,Nvidia Geforce 920Mx,No Os,2.2Kg,499.0
371,Hp,15-Ay023Na (N3710/8Gb/2Tb/W10),Notebook,15.6,1366X768,Intel Pentium Quad Core N3710 1.6Ghz,8Gb,2Tb Hdd,Intel Hd Graphics 405,Windows 10,2.04Kg,389.0
372,Dell,Inspiron 5770,Notebook,17.3,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Amd Radeon 530,Windows 10,2.8Kg,1085.0
373,Lenovo,Legion Y520-15Ikbn,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 7300Hq 2.5Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,No Os,2.4Kg,809.0
374,Dell,Inspiron 5567,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Amd Radeon R7 M445,Windows 10,2.33Kg,899.0
375,Hp,Elitebook 1040,Ultrabook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.36Kg,1750.0
376,Asus,Zenbook Flip,2 In 1 Convertible,15.6,Full Hd / Touchscreen 1920X1080,Intel Core I7 7500U 2.7Ghz,12Gb,512Gb Ssd +  2Tb Hdd,Nvidia Geforce Gt 940Mx,Windows 10,2.26Kg,1099.0
377,Acer,Aspire 3,Notebook,15.6,1366X768,Amd A9-Series 9420 3Ghz,4Gb,128Gb Ssd,Amd Radeon R5,Windows 10,2.1Kg,426.0
378,Asus,Rog Strix,Gaming,17.3,Ips Panel Full Hd 1920X1080,Amd Ryzen 1700 3Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Amd Radeon Rx 580,Windows 10,3.25Kg,2199.0
379,Lenovo,Ideapad 110-17Acl,Notebook,17.3,1600X900,Amd A8-Series 7410 2.2Ghz,4Gb,128Gb Ssd,Amd Radeon R5,Windows 10,2.6Kg,489.0
380,Dell,Inspiron 5379,2 In 1 Convertible,13.3,Full Hd / Touchscreen 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.62Kg,869.01
381,Hp,15-Bw003Nv (A9-Series-9420/4Gb/256Gb/Fhd/W10),Notebook,15.6,Full Hd 1920X1080,Amd A9-Series 9420 3Ghz,4Gb,256Gb Ssd,Amd Radeon R5,Windows 10,1.91Kg,488.99
382,Lenovo,Yoga 11E,Netbook,11.6,Ips Panel 1366X768,Intel Celeron Quad Core N3450 1.1Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 500,Windows 10,1.59Kg,553.0
383,Dell,Inspiron 3552,Notebook,15.6,1366X768,Intel Celeron Dual Core N3060 1.60Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 400,Windows 10,1.8Kg,309.0
384,Asus,Vivobook E403Na,Notebook,14.0,1366X768,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,32Gb Flash Storage,Intel Hd Graphics 500,Windows 10,1.5Kg,286.0
385,Acer,Aspire 7,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,1Tb Hdd,Nvidia Geforce Gtx 1050,Linux,2.4Kg,846.0
386,Hp,Omen 17-W212Nv,Gaming,17.3,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,3.35Kg,1191.0
387,Lenovo,V310-15Isk (I3-6006U/4Gb/128Gb/Fhd/No,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 520,No Os,1.85Kg,403.5
388,Asus,Rog Strix,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1060,Windows 10,2.3Kg,1655.0
389,Lenovo,Ideapad 720S-14Ikb,Notebook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Nvidia Geforce 940Mx,Windows 10,1.5Kg,1099.0
390,Asus,Zenbook Flip,Ultrabook,13.3,Full Hd / Touchscreen 1920X1080,Intel Core I7 7500U 2.7Ghz,16Gb,512Gb Ssd,Intel Hd Graphics 620,Windows 10,1.1Kg,1748.9
391,Lenovo,Thinkpad X1,Ultrabook,14.0,Ips Panel 2560X1440,Intel Core I7 7500U 2.7Ghz,8Gb,512Gb Ssd,Intel Hd Graphics 620,Windows 10,1.13Kg,2282.0
392,Lenovo,Ideapad 510S-13Ikb,Notebook,13.3,Ips Panel Full Hd 1920X1080,Intel Core I3 7100U 2.4Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 620,Windows 10,1.5Kg,549.0
393,Dell,Precision 3510,Workstation,15.6,Full Hd 1920X1080,Intel Core I5 6440Hq 2.6Ghz,8Gb,500Gb Hdd,Amd Firepro W5130M,Windows 10,2.23Kg,1369.0
394,Dell,Precision 5520,Workstation,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 6820Hq 2.7Ghz,8Gb,256Gb Ssd,Nvidia Quadro M1200,Windows 10,2Kg,2135.0
395,Lenovo,Thinkpad X1,2 In 1 Convertible,14.0,Touchscreen 2560X1440,Intel Core I7 7500U 2.7Ghz,16Gb,512Gb Ssd,Intel Hd Graphics 620,Windows 10,1.42Kg,2509.0
396,Asus,Rog Gl753Vd-Gc042T,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,3Kg,1039.0
397,Asus,Rog Gl753Ve-Gc070T,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Windows 10,3Kg,1591.0
399,Acer,Aspire 5,Notebook,15.6,Ips Panel 1366X768,Intel Core I5 8250U 1.6Ghz,12Gb,1Tb Hdd,Nvidia Geforce Mx130,Windows 10,2.2Kg,693.99
400,Msi,Leopard Gp72M,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce Gtx 1050 Ti,Windows 10,2.7Kg,1349.0
401,Dell,Inspiron 5567,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Amd Radeon R7 M445,Linux,2.33Kg,778.87
402,Hp,15-Bw004Nv (A9-9420/4Gb/256Gb/Radeon,Ultrabook,15.6,Full Hd 1920X1080,Amd A9-Series 9420 3Ghz,4Gb,256Gb Ssd,Amd Radeon 520,Windows 10,1.91Kg,499.0
403,Lenovo,Thinkpad E580,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Amd Radeon Rx 550,Windows 10,2.1Kg,1229.56
404,Lenovo,Thinkpad L470,Notebook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.9Kg,938.0
405,Dell,Precision M5520,Workstation,15.6,4K Ultra Hd / Touchscreen 3840X2160,Intel Core I7 7700Hq 2.8Ghz,8Gb,256Gb Ssd,Nvidia Quadro M1200,Windows 10,1.78Kg,2712.0
406,Lenovo,Thinkpad X1,Ultrabook,14.0,Ips Panel 2560X1440,Intel Core I7 7500U 2.7Ghz,16Gb,1Tb Ssd,Intel Hd Graphics 620,Windows 10,1.13Kg,2625.0
407,Lenovo,Ideapad 320-15Iap,Notebook,15.6,1366X768,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 500,Windows 10,2.2Kg,306.0
408,Asus,Fx753Vd-Gc461T (I7-7700Hq/16Gb/1Tb,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.9Kg,1529.0
409,Lenovo,Thinkpad E580,Notebook,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd +  1Tb Hdd,Amd Radeon Rx 550,Windows 10,2.1Kg,1144.5
410,Acer,Aspire 7,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce Gtx 1050,Linux,2.5Kg,879.0
411,Msi,Ge73Vr 7Rf,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1070,Windows 10,2.8Kg,2249.0
412,Asus,Zenbook 3,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,512Gb Ssd,Intel Hd Graphics 620,Windows 10,1.10Kg,1873.0
413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full Hd 1920X1080,Intel Core I7 6500U 2.5Ghz,16Gb,512Gb Ssd,Intel Hd Graphics 520,Windows 10,1.2Kg,1747.0
414,Dell,Latitude 7480,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I7 7600U 2.8Ghz,8Gb,512Gb Ssd,Intel Hd Graphics,Windows 10,1.36Kg,1680.0
415,Lenovo,Ideapad 320-15Isk,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 520,Windows 10,2.2Kg,409.0
416,Lenovo,Lenovo Ideapad,Notebook,11.6,1366X768,Intel Celeron Dual Core N3350 1.1Ghz,2Gb,32Gb Flash Storage,Intel Hd Graphics 500,Windows 10,1.15Kg,304.45
417,Lenovo,Thinkpad P51,Workstation,15.6,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,512Gb Ssd,Nvidia Quadro M1200,Windows 10,2.67Kg,1925.0
418,Lenovo,Thinkpad T470P,Ultrabook,14.0,Ips Panel Full Hd 2560X1440,Intel Core I7 7700Hq 2.8Ghz,8Gb,512Gb Ssd,Nvidia Geforce Gt 940Mx,Windows 10,1.7Kg,1943.0
419,Hp,15-Bs028Nv (I3-6006U/4Gb/1Tb/Radeon,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,1Tb Hdd,Amd Radeon 520,Windows 10,2.1Kg,469.0
420,Acer,Aspire R7,2 In 1 Convertible,13.3,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I7 6500U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 520,Windows 10,1.6Kg,789.01
421,Asus,Zenbook Flip,2 In 1 Convertible,13.3,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.27Kg,928.0
422,Dell,Inspiron 3567,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,4Gb,256Gb Ssd,Amd Radeon R5 M430,Linux,2.3Kg,598.9
423,Dell,Latitude 3380,Notebook,13.3,1366X768,Intel Core I3 6006U 2Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 520,Windows 10,1.65Kg,689.0
424,Hp,Elitebook 1040,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I7 6500U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 520,Windows 10,1.43Kg,1500.0
425,Dell,Inspiron 3567,Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,8Gb,1Tb Hdd,Intel Hd Graphics 620,Windows 10,2.14Kg,539.95
426,Lenovo,Thinkpad E480,Ultrabook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Amd Radeon Rx 550,Windows 10,1.75Kg,1215.38
427,Lenovo,Yoga 720-15Ikb,2 In 1 Convertible,15.6,Ips Panel 4K Ultra Hd / Touchscreen 3840X2160,Intel Core I7 7700Hq 2.8Ghz,16Gb,512Gb Ssd,Nvidia Geforce Gtx 1050,Windows 10,2Kg,1899.0
428,Chuwi,Lapbook 12.3,Notebook,12.3,Ips Panel Retina Display 2736X1824,Intel Celeron Quad Core N3450 1.1Ghz,6Gb,64Gb Flash Storage,Intel Hd Graphics 500,Windows 10,1.4Kg,449.0
429,Hp,Probook 650,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7820Hq 2.9Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 630,Windows 10,2.31Kg,1427.0
430,Asus,X542Uq-Dm117 (I3-7100U/8Gb/1Tb/Geforce,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 7100U 2.4Ghz,8Gb,1Tb Hdd,Nvidia Geforce 940Mx,Linux,2.3Kg,597.0
431,Dell,Alienware 17,Gaming,17.3,Ips Panel 2560X1440,Intel Core I7 7820Hk 2.9Ghz,16Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1070,Windows 10,4.42Kg,2799.0
432,Dell,Inspiron 7577,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050 Ti,Windows 10,2.62Kg,1159.0
433,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd +  2Tb Hdd,Amd Radeon 530,Windows 10,2.02Kg,1142.4
434,Dell,Latitude 5480,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I7 7600U 2.8Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Linux,1.6Kg,1099.0
435,Hp,Omen 17-W207Nv,Gaming,17.3,Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,12Gb,256Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1070,Windows 10,3.35Kg,1999.0
436,Mediacom,Flexbook Edge,2 In 1 Convertible,11.6,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,32Gb Ssd,Intel Hd Graphics 500,Windows 10,1.16Kg,299.0
437,Samsung,Chromebook 3,Netbook,11.6,1366X768,Intel Celeron Dual Core N3060 1.6Ghz,4Gb,16Gb Flash Storage,Intel Hd Graphics 400,Chrome Os,1.15Kg,269.0
438,Lenovo,Thinkpad 13,Notebook,13.3,Ips Panel Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.4Kg,1010.0
439,Lenovo,Ideapad 320S-14Ikb,Notebook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I3 7130U 2.7Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 620,Windows 10,1.7Kg,599.0
440,Lenovo,Thinkpad T570,Workstation,15.6,Ips Panel 4K Ultra Hd 3840X2160,Intel Core I7 7600U 2.8Ghz,16Gb,512Gb Ssd,Nvidia Geforce 940Mx,Windows 10,2.3Kg,2445.0
441,Lenovo,Thinkpad P51,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7820Hq 2.9Ghz,16Gb,512Gb Ssd,Nvidia Quadro M2200M,Windows 10,2.5Kg,2449.0
442,Asus,Rog Strix,Gaming,17.3,Full Hd 1920X1080,Amd Ryzen 1600 3.2Ghz,8Gb,256Gb Ssd +  1Tb Hdd,Amd Radeon Rx 580,Windows 10,3.2Kg,1695.0
443,Hp,15-Ra044Nv (N3060/4Gb/500Gb/W10),Notebook,15.6,1366X768,Intel Celeron Dual Core N3060 1.6Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 400,Windows 10,2.1Kg,347.0
444,Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400X1600,Intel Core I7 7Y75 1.3Ghz,16Gb,512Gb Ssd,Intel Hd Graphics 615,Chrome Os,1.1Kg,2199.0
445,Lenovo,Thinkpad T470S,Ultrabook,14.0,2560X1440,Intel Core I7 7500U 2.7Ghz,24Gb,512Gb Ssd,Intel Hd Graphics 620,Windows 10,1.32Kg,2382.0
446,Asus,Vivobook Max,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,4Gb,256Gb Ssd,Intel Hd Graphics 620,Linux,2Kg,559.0
447,Lenovo,Ideapad 320-15Ast,Notebook,17.3,1600X900,Amd A6-Series 9220 2.5Ghz,8Gb,1Tb Hdd,Amd Radeon R4,Windows 10,2.8Kg,519.0
448,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,4Gb,256Gb Ssd,Amd Radeon 530,Windows 10,2.2Kg,749.0
449,Lenovo,Thinkpad X270,Ultrabook,12.5,Ips Panel Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.36Kg,1429.0
450,Lenovo,Ideapad 320-15Iap,Notebook,15.6,Full Hd 1920X1080,Intel Pentium Quad Core N4200 1.1Ghz,4Gb,128Gb Ssd,Intel Hd Graphics 505,Windows 10,2.2Kg,349.0
451,Hp,Omen 15-Ax205Na,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7700Hq 2.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.2Kg,1099.0
452,Dell,Latitude 5480,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 7440Hq 2.8Ghz,8Gb,256Gb Ssd,Nvidia Geforce 930Mx,Windows 10,1.64Kg,1179.0
453,Acer,Aspire Es1-572,Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 620,Linux,2.4Kg,441.8
454,Dell,Precision 3520,Workstation,15.6,Full Hd 1920X1080,Intel Xeon E3-1505M V6 3Ghz,8Gb,64Gb Flash Storage +  1Tb Hdd,Nvidia Quadro M620,Windows 10,2.23Kg,1993.0
455,Msi,Gv62 7Rd-1686Nl,Gaming,15.6,Full Hd 1920X1080,Intel Core I5 7300Hq 2.5Ghz,8Gb,256Gb Ssd,Nvidia Geforce Gtx 1050,Windows 10,2.2Kg,1027.74
456,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256X1504,Intel Core I7 7660U 2.5Ghz,16Gb,512Gb Ssd,Intel Iris Plus Graphics 640,Windows 10 S,1.25Kg,2589.0
457,Hp,15-Bs024Nv (I5-7200U/8Gb/128Gb/W10),Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,8Gb,128Gb Ssd,Intel Hd Graphics 620,Windows 10,1.91Kg,589.0
458,Dell,Precision 3520,Workstation,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 6820Hq 2.7Ghz,16Gb,256Gb Ssd,Nvidia Quadro M620,Windows 10,2.17Kg,1975.0
459,Hp,Probook 650,Workstation,15.6,Ips Panel Full Hd 1920X1080,Intel Core I7 7820Hq 2.9Ghz,8Gb,512Gb Ssd,Intel Hd Graphics 620,Windows 10,2.31Kg,1534.0
460,Lenovo,Thinkpad T470,Notebook,14.0,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.65Kg,1345.0
461,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Amd Radeon 530,Windows 10,2.36Kg,979.0
